Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,179.00,181.70,176.70,177.45,179.285927558383393168,28133,996,5043851.00,8005,28.45,5.00,-1.55
29-December-2016,178.00,178.75,173.05,177.30,176.468634184488796708,29411,1065,5190119.00,4520,15.37,5.70,-0.70
28-December-2016,174.90,181.00,174.00,175.65,177.644762845849802371,44528,1050,7910166.00,7309,16.41,7.00,0.75
27-December-2016,170.50,177.10,168.20,173.55,173.230556302069336199,37210,1382,6445909.00,6926,18.61,8.90,3.05
26-December-2016,176.15,176.15,169.05,169.85,170.489646599183093589,28155,808,4800136.00,10878,38.64,7.10,-6.30
23-December-2016,176.40,180.90,175.10,177.80,177.691618310767246937,46530,1484,8267991.00,4213,9.05,5.80,1.40
22-December-2016,184.00,184.25,176.65,177.75,179.151773376324274527,52104,1538,9334524.00,11295,21.68,7.60,-6.25
21-December-2016,187.35,188.90,184.00,184.60,186.787386267986692853,49898,1331,9320317.00,6338,12.70,4.90,-2.75
20-December-2016,192.70,194.15,184.75,185.50,189.547900413811817380,73705,1807,13970628.00,11711,15.89,9.40,-7.20
19-December-2016,186.00,197.10,185.65,192.00,192.221499238744710288,172741,4565,33204534.00,21019,12.17,11.45,6.00
16-December-2016,185.00,192.90,184.35,186.25,188.205067613922217309,131186,3047,24689870.00,11953,9.11,8.55,1.25
15-December-2016,175.00,192.70,173.65,183.75,185.306622181694030399,231389,5084,42877914.00,24779,10.71,19.05,8.75
14-December-2016,183.80,183.80,177.15,177.70,180.215632715238745600,57111,1416,10292295.00,8440,14.78,6.65,-6.10
13-December-2016,183.30,188.00,181.10,182.25,184.027633741099141865,109540,2693,20158387.00,13271,12.12,6.90,-1.05
12-December-2016,189.90,190.00,181.85,183.45,185.241021050347222222,73728,2181,13657450.00,13682,18.56,8.15,-6.45
9-December-2016,192.05,194.80,185.00,187.35,190.991370490176827440,96761,3292,18480516.00,16779,17.34,9.80,-4.70
8-December-2016,189.65,194.00,187.20,191.50,190.494683065704929838,88867,2342,16928691.00,11011,12.39,6.80,1.85
7-December-2016,195.15,196.50,184.00,185.30,189.896661084893692596,39414,940,7484587.00,18418,46.73,12.50,-9.85
6-December-2016,196.00,201.75,194.00,194.80,197.834638370870455425,72284,2994,14300279.00,13485,18.66,7.75,-1.20
5-December-2016,196.00,204.10,193.35,194.65,198.189229435689996221,89986,3019,17834256.00,19684,21.87,10.75,-1.35
2-December-2016,184.00,205.00,182.30,194.10,195.053189545280310931,448716,11446,87523487.00,76266,17.00,22.70,10.10
1-December-2016,163.00,177.85,158.50,177.85,171.564650643551352771,60912,1055,10450346.00,30694,50.39,19.35,14.85
30-November-2016,159.35,164.00,157.75,161.70,161.759585657370517928,31375,836,5075207.00,15222,48.52,6.25,2.35
29-November-2016,161.00,164.25,156.40,158.10,159.774911660777385159,56600,1685,9043260.00,14580,25.76,7.85,-2.90
28-November-2016,151.00,165.40,150.90,159.90,159.404515438158129573,134472,3449,21435444.00,24392,18.14,14.50,8.90
25-November-2016,147.00,152.40,145.95,150.90,150.410036987590553938,45691,1212,6872385.00,16358,35.80,6.45,3.90
24-November-2016,144.00,152.00,142.00,146.10,148.019996952845280719,52508,1656,7772234.00,9062,17.26,10.00,2.10
23-November-2016,143.00,148.40,137.60,144.85,143.581641223259720369,40482,1428,5812472.00,9431,23.30,10.80,1.85
22-November-2016,137.30,142.05,133.50,140.80,137.880881057268722466,28375,708,3912370.00,9388,33.09,8.55,3.50
21-November-2016,151.10,151.30,135.00,135.55,139.965723589613465279,47292,964,6619259.00,27260,57.64,16.30,-15.55
18-November-2016,151.00,154.25,145.05,149.85,149.583087040047288310,54136,1351,8097830.00,9438,17.43,9.20,-1.15
17-November-2016,140.00,154.65,139.90,151.25,149.977074569789674952,52300,1560,7843801.00,11467,21.93,14.75,11.25
16-November-2016,170.00,171.00,134.20,143.05,144.547216030296493372,208605,5162,30153272.00,49922,23.93,36.80,-26.95
15-November-2016,189.80,189.80,160.10,166.20,174.887773919900288704,78627,1482,13750901.00,45895,58.37,29.70,-23.60
11-November-2016,207.55,207.55,197.50,200.10,200.905570920584749111,30372,577,6101904.00,15612,51.40,10.05,-7.45
10-November-2016,207.00,211.40,204.60,207.95,208.427671273591915589,33645,1168,7012549.00,11811,35.10,6.80,0.95
9-November-2016,196.20,203.75,170.00,202.75,192.587647416413373860,41125,1112,7920167.00,13186,32.06,33.75,6.55
8-November-2016,210.95,211.80,205.00,207.95,208.256102377754956947,12659,323,2636314.00,5986,47.29,6.80,-3.00
7-November-2016,208.90,213.65,206.70,208.30,209.275667446437191340,26931,951,5636003.00,9634,35.77,6.95,-0.60
4-November-2016,216.55,218.05,203.00,205.65,208.323704915134370579,45248,1275,9426231.00,20368,45.01,15.05,-10.90
3-November-2016,216.70,223.00,215.40,216.25,218.605480195333695062,55290,3238,12086697.00,12306,22.26,7.60,-0.45
2-November-2016,223.00,223.00,216.30,216.90,218.268246164279053996,47188,1991,10299642.00,9900,20.98,6.70,-6.10
1-November-2016,229.30,229.30,222.60,223.80,224.817906748890553858,34702,991,7801631.00,11574,33.35,6.70,-5.50
30-October-2016,229.50,229.50,226.20,227.75,227.881023076522373287,19197,496,4374632.00,12566,65.46,3.30,-1.75
28-October-2016,229.00,229.00,222.00,224.45,225.435773625648561917,33343,812,7516705.00,16187,48.55,7.00,-4.55
27-October-2016,228.90,228.90,222.00,224.90,224.808984150447565081,36531,1073,8212497.00,10250,28.06,6.90,-4.00
26-October-2016,229.00,243.35,227.00,229.55,235.823441206474846671,162722,4147,38373662.00,46830,28.78,16.35,0.55
25-October-2016,220.00,234.50,218.00,228.35,228.741985686697716687,176060,4349,40272314.00,48939,27.80,16.50,8.35
24-October-2016,216.35,223.95,216.35,218.90,220.741433400617719302,41119,1568,9076667.00,12428,30.22,7.60,2.55
21-October-2016,219.95,219.95,215.55,216.15,217.118986254295532646,16296,385,3538171.00,6317,38.76,4.40,-3.80
20-October-2016,217.55,223.70,217.55,218.90,220.063390001136603503,61587,1566,13553044.00,18424,29.92,6.15,1.35
19-October-2016,216.50,220.00,215.50,217.60,217.769661304250487734,31267,832,6809004.00,11719,37.48,4.50,1.10
18-October-2016,214.80,222.80,213.90,215.85,217.716733240290678088,41558,1088,9047872.00,15491,37.28,8.90,1.05
17-October-2016,214.95,218.70,212.00,213.45,214.647806362534869959,35489,854,7617636.00,11526,32.48,6.70,-1.50
14-October-2016,214.35,215.55,210.75,213.10,212.509549689440993788,12880,377,2737123.00,5713,44.36,4.80,-1.25
13-October-2016,214.15,217.80,209.30,211.55,212.852689073358029364,36983,925,7871931.00,20947,56.64,8.50,-2.60
10-October-2016,222.00,222.00,213.00,213.90,217.363773174089846626,31231,963,6788488.00,18122,58.03,9.00,-8.10
7-October-2016,224.00,226.90,219.00,220.45,221.940269749518304431,25431,579,5644163.00,14339,56.38,7.90,-3.55
6-October-2016,226.30,232.00,220.10,223.10,226.277779772376404696,55706,1876,12605030.00,21342,38.31,11.90,-3.20
5-October-2016,220.00,232.65,217.05,226.55,227.247803652168539441,97093,2451,22064171.00,26208,26.99,15.60,6.55
4-October-2016,222.00,223.90,217.10,219.05,219.127302709069493521,21225,752,4650977.00,6965,32.82,6.80,-2.95
3-October-2016,219.00,225.00,218.50,222.45,222.467434899730619574,33410,1259,7432637.00,13751,41.16,6.50,3.45
30-September-2016,213.00,219.90,210.40,217.70,216.762870580330897791,23814,676,5161991.00,7857,32.99,9.50,4.70
29-September-2016,232.40,234.70,207.00,211.40,220.004883206182352001,131471,3364,28924262.00,44846,34.11,27.70,-21.00
