Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,77.55,78.70,77.15,77.75,78.016037313909654335,15651,209,1221029.00,8230,52.58,1.55,0.20
29-December-2016,77.50,78.10,77.00,77.20,77.424958464094517260,16251,349,1258233.00,9461,58.22,1.10,-0.30
28-December-2016,77.80,79.40,77.00,77.30,78.032170254887404107,28287,829,2207296.00,8843,31.26,2.40,-0.50
27-December-2016,76.05,77.25,75.75,77.00,76.662024575775307197,8545,165,655077.00,3174,37.14,1.50,0.95
26-December-2016,78.50,78.50,75.50,75.85,76.690471981615697366,11314,200,867676.00,5449,48.16,3.00,-2.65
23-December-2016,78.50,79.90,78.15,78.75,78.910561228292464783,13417,222,1058743.00,4323,32.22,1.75,0.25
22-December-2016,80.20,80.35,78.20,78.90,79.139215948621889215,14948,211,1182973.00,6955,46.53,2.15,-1.30
21-December-2016,81.70,82.40,79.45,80.45,80.451508200978058596,46214,609,3717986.00,9694,20.98,2.95,-1.25
20-December-2016,84.35,86.60,79.00,79.25,83.062440598269221149,79964,1171,6642005.00,22719,28.41,7.60,-5.10
19-December-2016,83.55,85.75,82.45,83.10,83.871086148947461524,22612,371,1896493.00,6589,29.14,3.30,-0.45
16-December-2016,85.00,86.00,83.30,83.85,84.448165476483624722,8122,115,685888.00,3970,48.88,2.70,-1.15
15-December-2016,84.30,86.40,84.30,85.10,85.257293431206474684,15939,285,1358916.00,5952,37.34,2.10,0.80
14-December-2016,85.25,87.00,84.10,84.85,85.873971481497436781,46426,745,3986785.00,23040,49.63,2.90,-0.40
13-December-2016,85.70,87.10,84.25,84.55,85.596002915125014015,35676,520,3053723.00,14040,39.35,2.85,-1.15
12-December-2016,85.35,87.90,84.20,84.55,86.013603586045605145,25655,492,2206679.00,10861,42.33,3.70,-0.80
9-December-2016,84.60,88.35,83.10,86.20,86.307170653542405860,69896,980,6032526.00,20451,29.26,5.25,1.60
8-December-2016,85.90,85.90,83.40,83.90,84.258396930108222308,23193,320,1954205.00,4532,19.54,2.50,-2.00
7-December-2016,85.95,86.40,83.30,83.80,85.033236393851267137,26477,603,2251425.00,7541,28.48,3.10,-2.15
6-December-2016,85.40,87.80,84.20,85.50,85.888397695510809423,70124,955,6022838.00,25884,36.91,3.60,0.10
5-December-2016,84.55,86.40,83.50,84.00,84.607637832906112873,23017,399,1947414.00,6884,29.91,2.90,-0.55
2-December-2016,83.00,88.20,80.20,84.25,85.664609088200405893,177879,2336,15237935.00,36627,20.59,8.00,1.25
1-December-2016,78.55,84.80,78.55,82.55,82.133565395444074737,97675,1734,8022396.00,32298,33.07,6.25,4.00
30-November-2016,76.50,80.00,76.50,78.65,78.752686777349540468,53968,782,4250125.00,13787,25.55,3.50,2.15
29-November-2016,76.10,77.70,76.00,76.75,76.886484162247384262,13954,203,1072874.00,7036,50.42,1.70,0.65
28-November-2016,74.00,76.50,74.00,75.50,75.629279901734991555,13026,218,985147.00,3910,30.02,2.50,1.50
25-November-2016,72.00,75.00,72.00,74.50,74.217125504455188396,25027,443,1857432.00,10527,42.06,3.00,2.50
24-November-2016,72.10,74.50,71.50,71.80,72.655965927150212955,31462,399,2285902.00,10235,32.53,3.00,-0.30
23-November-2016,70.05,73.15,69.50,72.65,71.592895040369088811,21675,348,1551776.00,11217,51.75,3.65,2.60
22-November-2016,71.00,71.00,68.40,69.30,69.527358606305974727,16302,169,1133435.00,11698,71.76,2.60,-1.70
21-November-2016,72.30,73.00,68.80,69.40,70.487470449172576832,16920,294,1192648.00,8605,50.86,4.20,-2.90
18-November-2016,72.00,73.00,71.85,72.15,72.297981819221313818,17491,241,1264564.00,9992,57.13,1.15,0.15
17-November-2016,73.50,74.80,71.10,71.75,72.810263044415696420,20871,410,1519623.00,11207,53.70,3.70,-1.75
16-November-2016,75.00,76.75,72.10,73.60,74.342692584593232541,15279,316,1135882.00,7487,49.00,4.65,-1.40
15-November-2016,78.00,78.90,73.00,73.50,74.660502132776044201,34931,435,2607966.00,18217,52.15,5.90,-4.50
11-November-2016,82.00,82.35,77.50,78.15,79.205854003973483879,50837,650,4026588.00,30791,60.57,4.85,-3.85
10-November-2016,82.70,84.65,82.05,83.10,83.463813813813813813,26640,399,2223476.00,9986,37.48,2.60,0.40
9-November-2016,71.10,81.60,71.10,80.20,78.384879605251686921,57353,693,4495608.00,18623,32.47,10.50,9.10
8-November-2016,84.15,85.10,83.00,83.50,83.858886245484183628,22698,288,1903429.00,13337,58.76,2.10,-0.65
7-November-2016,83.65,84.95,83.00,83.60,83.812029503459812941,26302,406,2204424.00,13586,51.65,1.95,-0.05
4-November-2016,86.25,86.25,81.10,81.85,82.982483554704236711,39677,618,3292496.00,15096,38.05,5.15,-4.40
3-November-2016,88.20,89.95,85.00,85.65,87.419392329403951519,24092,468,2106108.00,8518,35.36,4.95,-2.55
2-November-2016,89.45,89.50,87.55,87.75,88.126594839807201587,21162,280,1864935.00,12320,58.22,1.95,-1.70
1-November-2016,89.95,92.25,88.30,90.30,90.453999529844207466,46793,643,4232614.00,10101,21.59,3.95,0.35
30-October-2016,90.80,91.10,89.20,89.75,90.204961109943241538,9514,113,858210.00,5198,54.64,1.90,-1.05
28-October-2016,89.40,91.75,88.30,89.40,89.816466259530402457,52726,874,4735663.00,15356,29.12,3.45,0.00
27-October-2016,91.00,91.90,88.30,89.00,89.990757652097241466,63512,721,5715493.00,16564,26.08,3.60,-2.00
26-October-2016,92.10,95.55,91.00,91.25,92.741096900789067175,71857,1455,6664097.00,18813,26.18,4.55,-0.85
25-October-2016,94.05,95.55,91.80,92.10,93.512052800045321927,70606,1420,6602512.00,22352,31.66,3.75,-1.95
24-October-2016,96.00,99.00,94.10,94.90,96.542942518394756289,155615,2084,15023530.00,42296,27.18,4.90,-1.10
21-October-2016,88.70,99.40,87.50,95.50,94.931238558721815762,487817,5913,46309072.00,95325,19.54,11.90,6.80
20-October-2016,89.00,90.35,88.10,88.70,89.089448818897637795,34925,439,3111449.00,10271,29.41,2.25,-0.30
19-October-2016,88.00,90.10,87.10,88.30,88.704898115499914160,75723,905,6717001.00,26853,35.46,3.00,0.30
18-October-2016,87.50,89.15,86.75,87.35,87.674266775239646280,69999,817,6137111.00,22277,31.82,2.40,-0.15
17-October-2016,87.30,88.75,85.25,86.70,87.226244534140598721,23784,331,2074589.00,11206,47.12,3.50,-0.60
14-October-2016,87.10,89.40,86.00,87.30,86.943700990749870873,21297,339,1851640.00,10772,50.58,3.40,0.20
13-October-2016,88.60,89.15,85.00,86.80,87.059715516116403497,38315,444,3335693.00,18875,49.26,4.15,-1.80
10-October-2016,90.20,90.60,88.55,89.00,89.571736834856067214,21781,300,1950962.00,8749,40.17,2.05,-1.20
7-October-2016,90.60,91.00,89.00,89.60,89.784461252128459984,25253,370,2267327.00,10851,42.97,2.00,-1.00
6-October-2016,90.00,92.70,89.00,89.65,90.940532877757987714,110044,1443,10007460.00,27896,25.35,3.70,-0.35
5-October-2016,86.30,91.15,86.05,89.70,89.259482060519922656,121018,1666,10802004.00,30252,25.00,5.10,3.40
5-October-2016,86.30,91.15,86.05,89.70,89.259482060519922656,121018,1666,10802004.00,30252,25.00,5.10,3.40
4-October-2016,86.75,87.50,85.70,86.30,86.354784752178888986,22718,269,1961808.00,10944,48.17,1.80,-0.45
3-October-2016,84.20,86.80,83.90,86.15,85.814845425303788420,44768,773,3841759.00,12681,28.33,2.90,1.95
30-September-2016,82.00,84.40,79.95,82.95,82.776532190884208020,42015,720,3477856.00,16321,38.85,4.45,0.95
29-September-2016,91.45,93.40,79.95,80.95,86.808878539569175622,147299,2085,12786861.00,47179,32.03,13.45,-10.50
28-September-2016,89.65,91.60,89.00,90.30,90.465096680556205814,64077,718,5796732.00,19369,30.23,2.60,0.65
27-September-2016,90.00,91.45,88.40,89.05,90.015590322994809339,54521,846,4907740.00,20598,37.78,3.05,-0.95
26-September-2016,90.95,92.20,89.10,89.50,90.736602611221953866,57138,899,5184508.00,14342,25.10,3.10,-1.45
23-September-2016,90.20,94.30,90.20,91.10,92.417781245808897938,164038,2346,15160028.00,43834,26.72,4.10,0.90
22-September-2016,90.20,90.90,87.60,90.10,90.155127804791006825,44834,561,4042015.00,19292,43.03,3.30,-0.10
21-September-2016,88.75,91.00,87.75,89.05,89.453254114594003960,29286,808,2619728.00,7713,26.34,3.25,0.30
20-September-2016,90.60,90.70,87.90,88.30,88.881904470300061236,32660,524,2902883.00,14091,43.14,2.80,-2.30
19-September-2016,90.95,92.30,89.90,90.35,91.028470958388599278,32419,574,2951052.00,7400,22.83,2.40,-0.60
16-September-2016,91.35,92.85,89.20,89.95,91.407621209130978225,60804,968,5557949.00,16935,27.85,3.65,-1.40
15-September-2016,90.75,93.35,89.70,90.65,91.945003773326015367,116608,1605,10721523.00,17341,14.87,3.65,-0.10
14-September-2016,88.70,91.40,88.50,90.10,90.094183063919158532,58089,898,5233481.00,18317,31.53,2.90,1.40
12-September-2016,89.00,93.40,88.05,88.55,91.027528084543751010,105129,1932,9569633.00,15104,14.37,5.35,-0.45
9-September-2016,92.30,93.10,89.15,89.90,91.132870926492812027,51614,816,4703732.00,21022,40.73,3.95,-2.40
8-September-2016,88.00,95.85,87.75,92.70,93.224357224523382824,252771,4184,23564414.00,57922,22.91,8.10,4.70
7-September-2016,87.60,90.90,87.20,88.50,89.177677928108237931,99928,1493,8911347.00,36719,36.75,3.70,0.90
6-September-2016,86.00,89.50,84.90,87.25,86.929086159756878449,98387,1241,8552692.00,18863,19.17,4.60,1.25
2-September-2016,85.95,87.25,85.30,85.70,85.987596983936181838,18302,313,1573745.00,9671,52.84,1.95,-0.25
1-September-2016,88.00,88.70,85.50,85.65,87.107992388201712654,29428,452,2563414.00,11658,39.62,3.20,-2.35
31-August-2016,87.00,88.50,86.15,86.60,87.295276867096588248,27757,335,2423055.00,13473,48.54,2.35,-0.40
30-August-2016,86.30,88.40,86.30,86.70,87.160442293174652515,22519,450,1962766.00,9951,44.19,2.10,0.40
29-August-2016,87.60,87.60,85.05,85.20,85.748215535339398180,14290,229,1225342.00,8357,58.48,2.55,-2.40
26-August-2016,86.70,89.40,86.20,86.80,87.891698123455449040,36823,625,3236436.00,15220,41.33,3.20,0.10
25-August-2016,87.10,90.70,86.50,88.15,89.002019752811903570,53967,1157,4803172.00,11620,21.53,4.20,1.05
24-August-2016,87.95,88.70,86.15,87.10,87.361083551306334746,33261,521,2905717.00,13506,40.61,2.55,-0.85
23-August-2016,88.00,89.90,87.30,87.55,88.282226736519476816,28059,386,2477111.00,10317,36.77,2.60,-0.45
22-August-2016,90.00,90.90,87.35,88.15,88.931552049220998312,40308,605,3584653.00,14121,35.03,3.55,-1.85
19-August-2016,84.05,90.00,83.80,89.45,88.324947728053314372,165959,2273,14658320.00,41744,25.15,6.20,5.40
18-August-2016,84.00,84.50,82.00,83.45,83.325695915086877758,39193,469,3265784.00,15211,38.81,2.50,-0.55
17-August-2016,84.50,85.35,81.70,82.65,83.124618463342160053,49471,775,4112258.00,17476,35.33,3.65,-1.85
16-August-2016,85.05,86.80,82.25,82.90,83.817730095990965556,26565,491,2226618.00,19619,73.85,4.55,-2.15
12-August-2016,84.95,86.70,84.95,85.40,85.582659441433930804,11995,289,1026564.00,6027,50.25,1.75,0.45
11-August-2016,85.00,87.10,84.20,84.85,85.207480818414322250,21896,925,1865703.00,14521,66.32,2.90,-0.15
10-August-2016,88.25,88.70,85.15,85.70,86.308858998144712430,43120,658,3721638.00,21586,50.06,3.55,-2.55
9-August-2016,88.30,90.50,87.20,87.70,88.361068180090704096,39469,508,3487523.00,23775,60.24,3.30,-0.60
8-August-2016,91.00,91.00,88.35,88.70,89.324662679093058839,14378,252,1284310.00,7646,53.18,2.65,-2.30
5-August-2016,90.55,91.80,88.60,89.60,90.018504058115046970,42261,559,3804272.00,32185,76.16,3.20,-0.95
4-August-2016,90.30,93.00,88.85,89.55,90.476286310072256437,41242,620,3731423.00,10866,26.35,4.15,-0.75
3-August-2016,90.00,91.30,88.00,88.60,89.692734808790177524,25574,430,2293802.00,9093,35.56,3.30,-1.40
2-August-2016,92.45,92.50,89.55,90.05,90.965345720628134506,48652,855,4425646.00,21892,45.00,2.95,-2.40
1-August-2016,94.90,96.00,92.50,92.80,94.108204937813254130,53870,777,5069609.00,20980,38.95,3.50,-2.10
29-July-2016,96.55,96.60,93.65,94.05,95.107310168177681911,29671,631,2821929.00,14516,48.92,2.95,-2.50
28-July-2016,98.90,99.00,96.00,96.50,97.236729026985703113,113801,1256,11065637.00,33819,29.72,3.00,-2.40
27-July-2016,96.45,97.70,93.00,96.50,95.458578261345795757,136945,1551,13072575.00,53356,38.96,4.70,0.05
26-July-2016,100.10,100.60,95.40,95.70,97.656183353153347944,101749,1417,9936419.00,34416,33.82,5.20,-4.40
25-July-2016,94.85,103.95,94.40,100.65,100.362922522543101725,525327,6368,52723353.00,72402,13.78,9.55,5.80
22-July-2016,94.00,95.95,93.60,94.10,94.719540801819732726,28136,576,2665029.00,11098,39.44,2.35,0.10
21-July-2016,95.40,98.05,93.70,94.25,96.152381661050460812,94073,1545,9045343.00,25477,27.08,4.35,-1.15
20-July-2016,93.00,96.80,92.95,94.80,95.094826252654375676,71109,1430,6762098.00,17035,23.96,3.85,1.80
19-July-2016,94.90,95.25,92.30,93.10,93.421578258022265880,24432,531,2282476.00,11598,47.47,2.95,-1.80
18-July-2016,94.95,97.35,94.15,94.40,95.473377610176169302,35534,667,3392551.00,10108,28.45,3.20,-0.55
15-July-2016,97.45,97.70,94.05,94.30,95.665049788452497969,46798,558,4476933.00,16115,34.44,3.65,-3.15
14-July-2016,96.30,99.60,96.30,96.75,97.723806188655752375,102801,1426,10046105.00,25085,24.40,3.30,0.45
13-July-2016,96.90,98.35,94.55,95.30,96.421847927968869827,35207,669,3394724.00,10905,30.97,3.80,-1.60
12-July-2016,97.45,98.90,96.15,96.45,97.288341606211022018,31428,712,3057578.00,12718,40.47,2.75,-1.00
11-July-2016,99.25,99.85,97.20,97.45,98.273887306639861506,35814,704,3519581.00,15824,44.18,2.65,-1.80
8-July-2016,100.20,100.20,97.40,97.85,98.518438595815190166,25951,465,2556652.00,11255,43.37,2.80,-2.35
7-July-2016,99.85,101.55,98.50,99.90,100.258226350047595770,77738,1598,7793874.00,22112,28.44,3.05,0.05
