Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,250.00,263.50,250.00,256.30,257.716566553222189112,63761,1734,16432266.00,11236,17.62,13.50,6.30
29-December-2016,247.10,251.35,246.55,248.40,248.580149740833173353,26045,707,6474270.00,9512,36.52,4.80,1.30
28-December-2016,249.60,253.85,243.35,245.85,249.897074590289477714,39174,1010,9789468.00,12242,31.25,10.50,-3.75
27-December-2016,241.60,251.00,236.20,247.55,244.185898856628815039,76703,2431,18729791.00,11088,14.46,14.80,5.95
26-December-2016,256.50,256.50,238.00,239.75,246.265183764014629174,33358,923,8214914.00,9199,27.58,18.50,-16.75
23-December-2016,254.40,260.55,251.40,255.75,255.963196680569662654,46273,1385,11844185.00,10152,21.94,9.15,1.35
22-December-2016,268.00,268.00,253.20,254.20,258.141340411413404114,46717,1172,12059589.00,13041,27.91,14.80,-13.80
21-December-2016,265.00,273.30,263.00,265.35,267.854374633000587199,85150,2630,22807800.00,11683,13.72,10.30,0.35
20-December-2016,273.20,274.90,260.50,261.30,266.321948676554669895,59466,1554,15837101.00,10275,17.28,14.40,-11.90
19-December-2016,272.00,283.45,268.65,269.90,276.105150342363798749,100770,2617,27823116.00,14251,14.14,14.80,-2.10
16-December-2016,278.00,279.75,269.00,270.50,273.664110993745326797,84257,1882,23058117.00,7628,9.05,10.75,-7.50
15-December-2016,274.45,281.90,263.60,274.55,276.324771800907055514,87095,2074,24066506.00,11139,12.79,18.30,0.10
14-December-2016,287.10,289.40,274.45,275.20,282.477705590276920036,80962,2175,22869960.00,17166,21.20,14.95,-11.90
13-December-2016,290.40,295.80,285.20,287.40,289.216504684353384116,114210,2750,33031417.00,20373,17.84,10.60,-3.00
12-December-2016,292.00,301.70,284.00,287.60,292.918458313622498083,245212,6098,71827121.00,42997,17.53,17.70,-4.40
9-December-2016,290.10,303.30,286.05,291.65,295.857975259772389905,252625,6383,74741121.00,42587,16.86,17.25,1.55
8-December-2016,276.00,297.45,275.90,288.75,288.089586866142150633,225859,6250,65067626.00,33566,14.86,21.55,12.75
7-December-2016,283.00,287.10,271.65,273.80,278.132878651082208828,81962,2528,22796327.00,17609,21.48,15.45,-9.20
6-December-2016,275.00,297.00,274.20,281.45,287.461129561672750510,309837,8267,89066094.00,51140,16.51,22.80,6.45
5-December-2016,272.80,281.80,266.75,271.45,273.937642184391862931,90991,2824,24925860.00,10497,11.54,15.05,-1.35
2-December-2016,256.00,293.70,252.50,273.90,278.139323846135374849,458091,14989,127413121.00,54069,11.80,41.20,17.90
1-December-2016,272.00,275.90,255.00,257.10,265.189231063378099514,151677,5034,40223107.00,35013,23.08,20.90,-14.90
30-November-2016,227.40,268.70,222.40,268.70,252.061838552327860284,183688,5565,46300735.00,35873,19.53,46.30,41.30
29-November-2016,231.00,233.00,222.60,223.95,227.362789600896067912,16963,509,3856755.00,8169,48.16,10.40,-7.05
28-November-2016,228.00,233.40,225.00,229.55,230.145898484484002886,49884,2139,11480598.00,10618,21.29,8.40,1.55
25-November-2016,223.80,229.90,219.00,224.00,224.106978747846065479,41784,1342,9364086.00,13322,31.88,10.90,0.20
24-November-2016,234.00,236.00,222.00,224.35,227.679277271460978230,125635,4051,28604486.00,30168,24.01,14.00,-9.65
23-November-2016,198.00,207.10,195.05,203.30,202.994995187680461982,5195,247,1054559.00,2146,41.31,12.05,5.30
22-November-2016,195.00,196.80,192.00,195.30,195.257044525704452570,4649,206,907750.00,2638,56.74,4.80,0.30
21-November-2016,201.00,206.60,190.00,190.95,195.587915753359382445,10493,344,2052304.00,6022,57.39,16.60,-10.05
18-November-2016,202.20,204.45,198.00,200.35,200.513785361472833408,11135,417,2232721.00,6054,54.37,6.45,-1.85
17-November-2016,207.10,208.50,202.50,203.60,205.359389038634321653,2226,109,457130.00,1220,54.81,6.00,-3.50
16-November-2016,208.70,211.30,203.00,207.10,206.967477203647416413,6580,329,1361846.00,3624,55.08,8.30,-1.60
15-November-2016,209.00,212.00,197.10,203.35,204.473937379744621304,11434,581,2337955.00,4599,40.22,14.90,-5.65
11-November-2016,207.35,208.00,200.80,205.20,205.698926089703095388,7915,303,1628107.00,3684,46.54,7.20,-2.15
10-November-2016,205.00,219.15,203.00,210.85,211.457061590635597855,18282,926,3865858.00,5203,28.46,16.15,5.85
9-November-2016,184.40,202.15,180.50,198.30,196.396079401397563539,16171,600,3175921.00,9375,57.97,21.65,13.90
8-November-2016,206.60,207.50,202.35,203.50,204.424718073758000609,6562,245,1341435.00,3394,51.72,5.15,-3.10
7-November-2016,199.00,208.90,199.00,204.55,205.765946322760543743,11476,1407,2361370.00,2280,19.87,9.90,5.55
4-November-2016,205.55,205.55,194.00,197.60,197.690341787813176616,25864,718,5113063.00,11971,46.28,11.55,-7.95
3-November-2016,206.40,209.95,202.50,204.25,206.415255541871921182,12992,535,2681747.00,4663,35.89,7.45,-2.15
2-November-2016,211.15,216.00,203.05,204.90,208.343680600108572274,20263,818,4221668.00,7948,39.22,12.95,-6.25
1-November-2016,216.80,223.50,211.80,215.70,217.502888144247646401,31335,1011,6815453.00,6855,21.88,11.70,-1.10
30-October-2016,218.45,219.85,216.30,217.15,218.034973692355307954,3231,175,704471.00,1714,53.05,3.55,-1.30
28-October-2016,216.00,219.20,214.60,215.50,216.160199418363107602,12035,379,2601488.00,5395,44.83,4.60,-0.50
