Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,338.55,342.00,331.00,333.35,337.778948867682666286,28084,945,9486184.00,10977,39.09,11.00,-5.20
29-December-2016,339.95,344.00,335.00,336.05,338.907816377171215880,32240,988,10926388.00,11818,36.66,9.00,-3.90
28-December-2016,333.95,344.00,332.00,333.40,338.498734350413901621,43851,2282,14843508.00,10784,24.59,12.00,-0.55
27-December-2016,319.00,342.40,319.00,331.20,332.086804614748370720,70123,3065,23286923.00,14696,20.96,23.40,12.20
26-December-2016,335.00,337.00,315.00,319.30,327.394737400080571634,47163,1994,15440918.00,10233,21.70,22.00,-15.70
23-December-2016,341.00,352.30,336.00,338.70,345.586341031069968979,40618,1497,14037026.00,9313,22.93,16.30,-2.30
22-December-2016,354.60,360.75,340.10,343.90,350.794916079194862696,63691,2316,22342479.00,13111,20.59,20.65,-10.70
21-December-2016,365.55,376.90,358.00,361.20,368.010811260658056999,132177,4974,48642565.00,18555,14.04,18.90,-4.35
20-December-2016,350.10,374.50,342.15,364.75,363.977951721689740859,281700,10984,102532589.00,39918,14.17,32.35,14.65
19-December-2016,344.50,361.80,335.20,345.85,349.895622539825112936,189265,7719,66222995.00,33283,17.59,26.60,1.35
16-December-2016,304.00,351.00,302.60,343.70,333.780633671315080117,393611,12576,131379729.00,54353,13.81,48.40,39.70
15-December-2016,292.00,318.90,286.00,300.60,302.786203779364684612,506646,4132,153405419.00,270242,53.34,32.90,8.60
14-December-2016,299.00,300.00,286.00,289.15,295.257979990471653168,20990,733,6197465.00,11506,54.82,14.00,-9.85
13-December-2016,296.40,306.20,294.25,298.35,300.375366943203573707,15670,1067,4706882.00,9364,59.76,11.95,1.95
12-December-2016,312.70,318.00,298.30,300.70,306.593576906689390711,18776,890,5756601.00,12782,68.08,19.70,-12.00
9-December-2016,326.00,326.00,308.30,310.20,314.076259106746911624,75768,588,23796930.00,62394,82.35,17.70,-15.80
8-December-2016,325.05,325.05,312.70,317.90,319.113349551467234301,13154,387,4197617.00,9636,73.26,12.35,-7.15
7-December-2016,327.00,327.30,316.00,318.30,320.606195304903458813,7199,348,2308044.00,4135,57.44,11.30,-8.70
6-December-2016,329.70,330.10,322.00,325.35,327.906324912410105107,10846,274,3556472.00,7608,70.15,8.10,-4.35
5-December-2016,326.30,334.00,323.35,324.20,326.114939360529217199,7256,442,2366290.00,4698,64.75,10.65,-2.10
2-December-2016,335.50,340.00,325.00,327.15,332.592645759717314487,18112,615,6023918.00,10310,56.92,15.00,-8.35
1-December-2016,314.55,342.90,313.65,332.85,334.471928808070003416,67311,3177,22513640.00,24661,36.64,29.25,18.30
30-November-2016,313.00,318.00,309.00,311.00,313.644437904649793996,16990,683,5328819.00,10282,60.52,9.00,-2.00
29-November-2016,327.00,327.00,304.20,307.20,316.292394782180654688,28441,801,8995672.00,21212,74.58,22.80,-19.80
28-November-2016,322.00,350.00,317.00,317.95,321.679442143953845438,171944,2406,55310850.00,127151,73.95,33.00,-4.05
25-November-2016,321.00,326.00,313.05,314.35,317.972330036309002128,7987,531,2539645.00,6136,76.82,12.95,-6.65
24-November-2016,319.45,335.00,316.00,318.55,323.452541231908448333,5942,743,1921955.00,3203,53.90,19.00,-0.90
23-November-2016,330.65,336.20,315.60,319.25,321.592869355962256981,15791,765,5078273.00,8574,54.30,20.60,-11.40
22-November-2016,340.20,354.45,331.55,333.80,339.079784849843119677,4462,436,1512974.00,3159,70.80,22.90,-6.40
21-November-2016,370.00,375.00,335.00,342.00,356.320449754040758959,5692,455,2028176.00,3272,57.48,40.00,-28.00
18-November-2016,361.00,385.95,357.00,361.35,370.729294640965897055,4721,704,1750213.00,2590,54.86,28.95,0.35
17-November-2016,376.40,377.00,361.00,363.25,366.040816326530612244,1078,135,394592.00,696,64.56,16.00,-13.15
16-November-2016,390.00,391.25,365.90,367.45,378.057303604917691185,4799,456,1814297.00,3062,63.80,25.35,-22.55
15-November-2016,405.85,405.85,379.30,381.25,389.671450651357915654,4529,336,1764822.00,3365,74.30,26.55,-24.60
11-November-2016,425.00,428.00,405.00,405.85,413.835027075142793561,13481,959,5578910.00,7044,52.25,23.00,-19.15
10-November-2016,500.00,500.00,423.00,426.90,447.102631671409999648,28461,1302,12724988.00,11453,40.24,77.00,-73.10
9-November-2016,412.50,440.00,400.00,436.55,416.925279329608938547,2864,181,1194074.00,1671,58.34,40.00,24.05
8-November-2016,444.25,446.00,441.00,443.00,443.756240822320117474,681,48,302198.00,539,79.15,5.00,-1.25
7-November-2016,445.00,455.00,443.00,443.40,446.073191489361702127,1175,168,524136.00,712,60.60,12.00,-1.60
4-November-2016,451.35,465.00,441.10,442.85,445.322624743677375256,1463,99,651507.00,1090,74.50,23.90,-8.50
3-November-2016,462.00,467.90,449.45,454.55,462.260813428018076178,1549,124,716042.00,1080,69.72,18.45,-7.45
2-November-2016,466.45,466.45,460.00,463.20,461.815732758620689655,928,107,428565.00,613,66.06,6.45,-3.25
1-November-2016,480.00,480.00,468.00,475.85,472.418261344997266265,1829,122,864053.00,1352,73.92,12.00,-4.15
30-October-2016,469.90,479.75,469.90,474.85,474.627118644067796610,413,62,196021.00,300,72.64,9.85,4.95
28-October-2016,470.00,470.00,457.30,463.15,463.781181619256017505,914,117,423896.00,473,51.75,12.70,-6.85
27-October-2016,469.00,469.00,458.00,459.90,462.195057833859095688,1902,168,879095.00,1250,65.72,11.00,-9.10
26-October-2016,466.00,496.85,459.15,466.30,480.326995357063895644,4523,492,2172519.00,1377,30.44,37.70,0.30
25-October-2016,471.60,479.20,466.00,471.05,472.712290502793296089,358,61,169231.00,140,39.11,13.20,-0.55
24-October-2016,481.60,481.60,465.00,471.25,472.701062215477996965,659,82,311510.00,493,74.81,16.60,-10.35
21-October-2016,475.00,484.00,467.60,480.75,477.469936708860759493,632,99,301761.00,353,55.85,16.40,5.75
20-October-2016,490.15,492.90,475.00,480.05,482.731974921630094043,638,108,307983.00,374,58.62,17.90,-10.10
19-October-2016,463.00,508.90,460.10,486.75,488.734839253913206486,10669,763,5214312.00,2783,26.08,48.80,23.75
18-October-2016,462.85,467.00,456.20,464.60,461.735607675906183368,938,82,433108.00,543,57.89,10.80,1.75
17-October-2016,524.00,524.00,458.00,462.85,471.009930121368150055,2719,291,1280676.00,1545,56.82,66.00,-61.15
14-October-2016,450.00,495.00,450.00,475.55,482.516775396085740913,6438,530,3106443.00,1933,30.02,45.00,25.55
13-October-2016,463.00,466.00,460.00,462.35,462.936798582398109864,1693,107,783752.00,749,44.24,6.00,-0.65
10-October-2016,460.00,463.95,458.00,460.30,460.400228050171037628,2631,133,1211313.00,1643,62.45,5.95,0.30
7-October-2016,460.00,464.00,458.50,459.95,459.711764705882352941,680,91,312604.00,400,58.82,5.50,-0.05
6-October-2016,469.00,469.00,460.30,461.80,463.449897750511247443,489,55,226627.00,313,64.01,8.70,-7.20
5-October-2016,460.00,470.00,460.00,462.60,464.146978021978021978,1456,126,675798.00,767,52.68,10.00,2.60
5-October-2016,460.00,470.00,460.00,462.60,464.146978021978021978,1456,126,675798.00,767,52.68,10.00,2.60
4-October-2016,466.85,470.00,459.15,461.00,462.230946882217090069,866,78,400292.00,625,72.17,10.85,-5.85
3-October-2016,461.40,477.50,452.25,471.65,463.816890881913303437,1338,160,620587.00,550,41.11,25.25,10.25
30-September-2016,460.00,464.15,436.50,456.10,447.839991545127879940,4731,363,2118731.00,2612,55.21,27.65,-3.90
29-September-2016,465.50,471.40,460.00,464.65,465.350620067643742953,1774,138,825532.00,1270,71.59,11.40,-0.85
28-September-2016,470.00,473.50,460.25,465.05,467.394117647058823529,850,143,397285.00,580,68.24,13.25,-4.95
27-September-2016,469.00,475.00,465.00,468.55,470.093549975381585425,2031,197,954760.00,1011,49.78,10.00,-0.45
26-September-2016,467.90,472.25,460.35,464.55,465.556131977588711350,4819,332,2243515.00,2566,53.25,11.90,-3.35
23-September-2016,468.15,475.90,466.20,468.15,470.775232018561484918,3448,339,1623233.00,1744,50.58,9.70,0.00
22-September-2016,470.00,473.00,467.80,469.80,470.217761557177615571,1644,110,773038.00,1161,70.62,5.20,-0.20
21-September-2016,470.70,476.00,466.80,470.20,471.920873124147339699,1466,145,691836.00,892,60.85,9.20,-0.50
20-September-2016,470.50,486.00,465.10,470.70,471.223049956178790534,2282,171,1075331.00,1602,70.20,20.90,0.20
19-September-2016,475.60,475.90,467.10,469.25,470.605466012613875262,1427,104,671554.00,1027,71.97,8.80,-6.35
16-September-2016,472.80,487.25,465.00,472.55,476.874673629242819843,1532,221,730572.00,569,37.14,22.25,-0.25
15-September-2016,471.50,474.75,468.00,470.00,470.732812140722005058,4349,161,2047217.00,3728,85.72,6.75,-1.50
14-September-2016,465.00,473.65,464.00,466.15,468.957097791798107255,3170,202,1486594.00,1233,38.90,9.65,1.15
12-September-2016,483.15,483.15,465.55,468.85,470.922287390029325513,2046,216,963507.00,1426,69.70,17.60,-14.30
9-September-2016,486.50,486.70,481.90,483.15,484.845917740945365254,1629,189,789814.00,844,51.81,4.80,-3.35
8-September-2016,487.10,497.55,478.00,486.75,489.238938053097345132,4633,561,2266644.00,1799,38.83,19.55,-0.35
7-September-2016,504.90,506.80,488.00,491.55,493.778852995588444570,7027,498,3469784.00,3549,50.51,18.80,-13.35
6-September-2016,488.00,532.65,484.00,501.20,515.178470850321550166,23791,1466,12256611.00,4803,20.19,48.65,13.20
2-September-2016,495.00,501.00,482.00,486.00,491.964307320024198427,3306,250,1626434.00,2460,74.41,19.00,-9.00
1-September-2016,508.80,510.45,495.25,498.35,501.966718266253869969,1292,156,648541.00,810,62.69,15.20,-10.45
31-August-2016,505.00,517.05,502.00,508.90,511.263403263403263403,1287,94,657996.00,293,22.77,15.05,3.90
30-August-2016,520.00,520.00,509.00,510.05,515.971058434399117971,3628,300,1871943.00,1542,42.50,11.00,-9.95
29-August-2016,511.00,526.00,504.80,519.00,515.159848484848484848,3960,276,2040033.00,2735,69.07,21.20,8.00
26-August-2016,525.00,530.60,511.00,511.55,515.598602901665771090,1861,191,959529.00,808,43.42,19.60,-13.45
25-August-2016,520.00,563.40,516.05,520.00,545.992547446868980326,31667,1807,17289946.00,5307,16.76,47.35,0.00
24-August-2016,510.00,528.00,503.90,513.55,509.387858347386172006,1186,156,604134.00,605,51.01,24.10,3.55
23-August-2016,500.65,511.85,500.00,505.70,503.298429319371727748,955,118,480650.00,643,67.33,11.85,5.05
22-August-2016,520.00,520.00,494.00,497.00,503.283135002051702913,4874,391,2453002.00,2488,51.05,26.00,-23.00
19-August-2016,535.00,537.00,519.00,521.65,521.590804597701149425,435,83,226892.00,255,58.62,18.00,-13.35
18-August-2016,529.90,535.50,524.05,526.40,528.048845470692717584,1126,99,594583.00,638,56.66,11.45,-3.50
17-August-2016,525.10,539.00,525.00,527.00,529.723646723646723646,1053,139,557799.00,560,53.18,14.00,1.90
16-August-2016,531.00,535.00,522.40,526.05,529.108335841107433042,3323,199,1758227.00,1734,52.18,12.60,-4.95
12-August-2016,518.00,545.00,495.05,524.25,522.112761584454409566,10704,1089,5588695.00,3250,30.36,49.95,6.25
11-August-2016,535.00,535.00,516.30,520.00,524.885431918008784773,2732,245,1433987.00,1779,65.12,18.70,-15.00
10-August-2016,554.10,554.10,526.00,533.20,537.984631578947368421,4750,468,2555427.00,2876,60.55,28.10,-20.90
9-August-2016,569.90,569.90,546.50,549.40,553.020408163265306122,1519,143,840038.00,887,58.39,23.40,-20.50
8-August-2016,573.80,574.00,560.20,562.85,565.909759085340955492,2449,220,1385913.00,1456,59.45,13.80,-10.95
5-August-2016,574.90,580.00,555.00,561.10,568.344253679046951646,11416,844,6488218.00,4549,39.85,25.00,-13.80
4-August-2016,640.00,640.00,545.00,548.70,564.881146731617405042,30382,2266,17162219.00,12926,42.54,95.00,-91.30
3-August-2016,658.40,663.40,643.25,654.25,655.068034557235421166,926,167,606593.00,439,47.41,20.15,-4.15
2-August-2016,680.00,680.00,640.00,646.95,655.142206016408386508,1097,148,718691.00,519,47.31,40.00,-33.05
1-August-2016,660.20,665.00,651.10,663.75,659.710820895522388059,1072,96,707210.00,704,65.67,13.90,3.55
29-July-2016,649.90,664.40,640.40,651.55,651.701657458563535911,1448,196,943664.00,783,54.07,24.00,1.65
28-July-2016,638.10,649.00,631.60,645.00,643.893069306930693069,505,79,325166.00,320,63.37,17.40,6.90
27-July-2016,643.05,643.05,625.10,627.65,632.169477911646586345,1245,102,787051.00,712,57.19,17.95,-15.40
26-July-2016,628.40,642.00,615.00,639.10,632.082665021591610117,1621,189,1024606.00,1014,62.55,27.00,10.70
25-July-2016,651.65,651.65,625.00,632.80,637.619839802834257547,1623,173,1034857.00,1169,72.03,26.65,-18.85
22-July-2016,662.00,669.70,646.00,650.25,656.529614721104082806,1739,256,1141705.00,1123,64.58,23.70,-11.75
21-July-2016,670.00,672.50,662.05,666.75,667.689898989898989898,990,20,661013.00,986,99.60,10.45,-3.25
20-July-2016,667.00,669.50,662.00,662.25,664.805194805194805194,154,18,102380.00,138,89.61,7.50,-4.75
19-July-2016,672.15,678.75,661.10,663.50,666.449074074074074074,1728,137,1151624.00,1487,86.05,17.65,-8.65
18-July-2016,683.00,690.00,670.75,675.00,682.501506024096385542,664,59,453181.00,601,90.51,19.25,-8.00
15-July-2016,690.00,690.00,681.90,688.30,689.389898989898989898,495,82,341248.00,413,83.43,8.10,-1.70
14-July-2016,693.00,693.00,685.00,687.40,689.972569338616275525,3281,329,2263800.00,2266,69.06,8.00,-5.60
13-July-2016,695.00,695.00,691.50,693.15,692.059523809523809523,336,28,232532.00,279,83.04,3.50,-1.85
12-July-2016,700.00,700.00,690.10,692.20,694.597286374133949191,3464,289,2406085.00,2508,72.40,9.90,-7.80
11-July-2016,695.00,706.00,686.00,688.70,699.491447770311545510,3274,255,2290135.00,2504,76.48,20.00,-6.30
8-July-2016,690.00,702.00,688.25,694.05,694.912568306010928961,183,61,127169.00,82,44.81,13.75,4.05
7-July-2016,700.00,719.40,690.00,695.10,694.911042944785276073,652,86,453082.00,514,78.83,29.40,-4.90
5-July-2016,692.25,697.60,688.60,690.10,694.532773109243697478,595,34,413247.00,557,93.61,9.00,-2.15
4-July-2016,690.00,700.00,690.00,694.00,698.014117647058823529,425,89,296656.00,290,68.24,10.00,4.00
1-July-2016,690.00,704.00,679.00,694.95,696.073743016759776536,2685,227,1868958.00,1971,73.41,25.00,4.95
30-June-2016,695.00,701.90,694.95,697.35,697.978835978835978835,378,81,263836.00,206,54.50,6.95,2.35
29-June-2016,700.00,702.70,681.50,693.00,693.195822454308093994,383,92,265494.00,175,45.69,21.20,-7.00
28-June-2016,693.25,700.05,690.00,695.70,696.048918156161806208,1063,167,739900.00,766,72.06,10.05,2.45
27-June-2016,695.00,698.00,683.05,692.10,691.230107526881720430,1395,269,964266.00,458,32.83,14.95,-2.90
24-June-2016,700.00,700.00,675.00,691.00,689.049371633752244165,1114,147,767601.00,847,76.03,25.00,-9.00
23-June-2016,710.00,715.00,704.60,711.85,710.194308145240431795,1019,290,723688.00,885,86.85,10.40,1.85
22-June-2016,695.00,711.80,695.00,708.45,706.403603603603603603,555,102,392054.00,385,69.37,16.80,13.45
21-June-2016,688.00,710.00,688.00,700.80,700.483670295489891135,1286,106,900822.00,1049,81.57,22.00,12.80
20-June-2016,700.00,710.00,695.75,705.20,705.368770764119601328,301,110,212316.00,152,50.50,14.25,5.20
17-June-2016,700.00,705.00,692.95,701.90,701.782991202346041055,1023,66,717924.00,878,85.83,12.05,1.90
16-June-2016,696.30,702.20,696.30,701.35,700.301934826883910386,1964,249,1375393.00,1810,92.16,5.90,5.05
15-June-2016,695.00,714.00,695.00,708.75,708.080995792426367461,2852,224,2019447.00,1693,59.36,19.00,13.75
14-June-2016,700.00,716.35,700.00,703.80,708.587892898719441210,859,162,608677.00,250,29.10,16.35,3.80
13-June-2016,690.00,698.20,684.00,698.00,694.246376811594202898,207,50,143709.00,160,77.29,14.20,8.00
10-June-2016,698.25,704.90,689.90,697.05,697.194842406876790830,349,45,243321.00,326,93.41,15.00,-1.20
9-June-2016,697.45,705.00,695.50,699.45,699.329286798179059180,659,116,460858.00,321,48.71,9.50,2.00
8-June-2016,702.50,709.90,696.75,708.45,703.327272727272727272,220,49,154732.00,119,54.09,13.15,5.95
7-June-2016,700.00,704.40,695.00,702.50,699.669642857142857142,224,32,156726.00,173,77.23,9.40,2.50
6-June-2016,700.00,717.35,695.10,703.55,705.613114754098360655,305,59,215212.00,119,39.02,22.25,3.55
3-June-2016,691.10,718.00,685.00,712.30,695.911147011308562197,1238,220,861538.00,837,67.61,33.00,21.20
2-June-2016,700.00,703.00,683.00,693.05,691.101610904584882280,807,122,557719.00,516,63.94,20.00,-6.95
1-June-2016,727.00,730.20,700.05,706.65,716.589569160997732426,5292,445,3792192.00,2899,54.78,30.15,-20.35
31-May-2016,720.00,749.00,715.00,728.20,726.388666908826734471,8259,419,5999244.00,5222,63.23,34.00,8.20
30-May-2016,710.00,735.00,700.00,725.05,724.979765708200212992,939,131,680756.00,486,51.76,35.00,15.05
27-May-2016,715.00,719.80,702.20,716.00,716.062283737024221453,1156,146,827768.00,638,55.19,17.60,1.00
26-May-2016,701.60,710.00,701.00,710.00,706.005714285714285714,350,56,247102.00,319,91.14,9.00,8.40
25-May-2016,708.00,718.80,697.05,701.70,705.494835853928439690,5422,633,3825193.00,2714,50.06,21.75,-6.30
24-May-2016,712.00,719.85,707.00,707.00,713.298904538341158059,639,77,455798.00,434,67.92,12.85,-5.00
23-May-2016,731.30,732.75,706.00,716.95,725.749674054758800521,1534,221,1113300.00,1040,67.80,26.75,-14.35
20-May-2016,757.40,778.00,710.00,718.95,747.582803896653960186,2361,277,1765043.00,787,33.33,68.00,-38.45
19-May-2016,770.00,784.00,757.60,763.40,772.873795761078998073,1038,138,802243.00,608,58.57,26.40,-6.60
18-May-2016,770.00,771.55,755.00,760.80,762.246644295302013422,596,93,454299.00,202,33.89,16.55,-9.20
17-May-2016,760.00,776.15,752.05,762.85,765.698924731182795698,837,140,640890.00,458,54.72,24.10,2.85
16-May-2016,753.65,771.20,750.05,752.10,756.695783132530120481,996,113,753669.00,714,71.69,21.15,-1.55
13-May-2016,771.00,771.00,754.25,762.65,763.027638190954773869,398,54,303685.00,218,54.77,16.75,-8.35
12-May-2016,760.00,780.00,760.00,771.15,768.334355828220858895,652,81,500954.00,508,77.91,20.00,11.15
11-May-2016,725.00,773.30,723.00,767.85,755.326164874551971326,1953,286,1475152.00,1586,81.21,50.30,42.85
