Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,80.90,81.45,80.00,80.15,80.684158207066903635,66394,804,5356944.00,22218,33.46,1.45,-0.75
29-December-2016,80.75,80.80,79.60,79.95,80.223550784475639966,60550,800,4857536.00,20671,34.14,1.20,-0.80
28-December-2016,78.05,81.35,78.05,80.35,79.917947295423023578,126175,1562,10083647.00,39851,31.58,3.30,2.30
27-December-2016,79.20,79.60,78.20,78.60,78.921098260729671272,55943,652,4415083.00,25063,44.80,1.40,-0.60
26-December-2016,76.60,79.25,75.65,78.20,78.077614610341821310,176642,1637,13791786.00,83476,47.26,3.60,1.60
23-December-2016,77.50,78.65,76.30,76.75,77.656461007911438258,69014,945,5359383.00,28250,40.93,2.35,-0.75
22-December-2016,79.30,79.70,76.80,77.40,77.890099282956425813,58016,635,4518872.00,23738,40.92,2.90,-1.90
21-December-2016,80.95,81.40,79.50,79.75,80.452643811737361998,25815,344,2076885.00,8788,34.04,1.90,-1.20
20-December-2016,82.25,82.90,80.05,80.30,81.092490716545179480,72710,738,5896235.00,28909,39.76,2.85,-1.95
19-December-2016,79.65,83.50,79.00,81.85,81.820500192196809532,166496,1859,13622786.00,39362,23.64,4.50,2.20
16-December-2016,82.10,84.00,79.25,79.45,81.753626789349662568,124766,1311,10200073.00,36043,28.89,4.75,-2.65
15-December-2016,82.00,83.10,81.05,81.75,81.958641581233492307,79887,1061,6547430.00,16675,20.87,2.05,-0.25
14-December-2016,80.00,83.50,79.00,81.80,81.974369338975830749,321607,3455,26363531.00,84864,26.39,4.50,1.80
13-December-2016,79.80,79.85,77.65,78.95,78.821683168316831683,50500,542,3980495.00,20704,41.00,2.20,-0.85
12-December-2016,77.80,80.75,77.35,79.15,79.430781524165712449,121391,1106,9642182.00,37707,31.06,3.40,1.35
9-December-2016,76.70,79.90,76.60,78.10,78.594816871218154347,134359,1325,10559921.00,33077,24.62,3.30,1.40
8-December-2016,76.05,77.10,75.70,76.05,76.221080246913580246,32400,302,2469563.00,16858,52.03,1.40,0.00
7-December-2016,77.40,77.70,75.55,75.95,76.564858363551502531,27853,318,2132561.00,13958,50.11,2.15,-1.45
6-December-2016,76.95,77.90,76.20,76.45,76.989940902803973343,39765,373,3061505.00,23444,58.96,1.70,-0.50
5-December-2016,77.60,77.90,76.10,76.45,77.042494127695921417,32781,343,2525530.00,10428,31.81,1.80,-1.15
2-December-2016,76.00,77.50,75.35,77.00,76.507030438603499241,75102,635,5745831.00,25794,34.35,2.15,1.00
1-December-2016,76.20,78.60,75.40,76.85,77.038669138666398765,109493,1158,8435195.00,23670,21.62,3.20,0.65
30-November-2016,74.00,76.35,73.85,75.95,75.487577931345301584,106504,998,8039729.00,31267,29.36,2.50,1.95
29-November-2016,76.40,77.55,72.50,73.50,75.632181338579156793,156569,1131,11841655.00,48511,30.98,5.05,-2.90
28-November-2016,74.00,76.35,73.30,75.45,75.388827960846615077,97565,743,7355311.00,27623,28.31,3.05,1.45
25-November-2016,72.95,74.50,72.30,74.10,73.514518009338399183,165553,1223,12170549.00,51483,31.10,2.20,1.15
24-November-2016,71.85,72.90,71.75,72.15,72.316834002154802242,64043,549,4631387.00,25856,40.37,1.15,0.30
23-November-2016,72.90,74.00,71.05,72.65,72.575870790696136615,120982,1114,8780374.00,31943,26.40,2.95,-0.25
22-November-2016,72.00,72.90,70.65,71.30,71.262521525665921664,136465,861,9724840.00,88948,65.18,2.25,-0.70
21-November-2016,78.40,78.40,70.15,70.95,73.262531938390762535,153029,1561,11211292.00,57405,37.51,8.25,-7.45
18-November-2016,72.95,74.40,72.85,73.50,73.540884955752212389,28250,293,2077530.00,13441,47.58,1.55,0.55
17-November-2016,72.50,74.00,71.80,73.35,73.152996267164378082,60008,559,4389765.00,28879,48.13,2.20,0.85
16-November-2016,75.90,76.90,71.30,71.75,74.008508514318216113,86149,809,6375759.00,41769,48.48,5.60,-4.15
15-November-2016,79.00,79.00,73.05,73.80,74.334863673377699154,71226,728,5294575.00,32922,46.22,5.95,-5.20
11-November-2016,81.10,81.25,78.00,78.45,79.266840711168702479,52477,581,4159686.00,22092,42.10,3.25,-2.65
10-November-2016,82.10,83.05,81.50,81.90,82.253042639267396787,59077,571,4859263.00,19118,32.36,1.55,-0.20
9-November-2016,76.00,81.35,67.00,80.80,76.270814540002795177,157414,1375,12006094.00,67903,43.14,14.35,4.80
8-November-2016,83.50,87.80,82.70,83.60,83.422152213563256508,48248,469,4024952.00,23123,47.93,5.10,0.10
7-November-2016,82.75,84.00,82.65,83.30,83.499199683825708922,50605,484,4225477.00,23363,46.17,1.35,0.55
4-November-2016,84.25,86.00,81.50,82.05,82.918519692248102959,113598,1011,9419378.00,38945,34.28,4.50,-2.20
3-November-2016,85.50,86.90,83.35,83.75,85.146422186433415581,67681,720,5762795.00,24679,36.46,3.55,-1.75
2-November-2016,85.00,87.80,83.50,85.60,86.186871929014104786,333362,3114,28731428.00,58765,17.63,4.30,0.60
1-November-2016,86.55,87.35,85.10,86.30,86.065654648956356736,118575,872,10205235.00,39848,33.61,2.25,-0.25
30-October-2016,85.50,86.00,85.15,85.85,85.649415157827271270,24964,233,2138152.00,15420,61.77,0.85,0.35
28-October-2016,84.50,85.50,84.05,84.85,84.694849038640417592,91381,826,7739500.00,33970,37.17,1.45,0.35
27-October-2016,85.05,86.40,83.60,83.95,85.081997196916608269,142700,1227,12141201.00,56605,39.67,2.80,-1.10
