Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,182.10,186.30,181.00,181.95,183.840210998039398748,21422,587,3938225.00,11182,52.20,5.30,-0.15
29-December-2016,181.00,183.90,178.60,183.10,182.500998253057149987,16028,442,2925126.00,4648,29.00,5.30,2.10
28-December-2016,179.50,184.20,179.00,180.45,182.037783505154639175,19400,635,3531533.00,5736,29.57,5.20,0.95
27-December-2016,173.65,178.70,173.60,177.20,176.565305551671094951,14302,393,2525237.00,7348,51.38,5.10,3.55
26-December-2016,180.30,180.30,173.55,174.05,175.701800912791414826,16214,475,2848829.00,8013,49.42,6.75,-6.25
23-December-2016,183.05,184.00,180.15,181.10,182.101553715629152611,19566,540,3562999.00,7249,37.05,3.85,-1.95
22-December-2016,186.20,188.05,183.10,184.00,184.782447410088215335,22105,523,4084616.00,8215,37.16,4.95,-2.20
21-December-2016,187.40,192.90,186.45,188.90,189.599808539153743059,26115,795,4951399.00,6999,26.80,6.45,1.50
20-December-2016,188.05,190.15,183.50,184.85,185.794132272501243162,18099,511,3362688.00,7623,42.12,6.65,-3.20
19-December-2016,190.05,194.00,185.40,188.10,190.868548990276738967,26740,658,5103825.00,12250,45.81,8.60,-1.95
16-December-2016,192.40,196.00,189.00,189.85,191.791294957272983378,21298,626,4084771.00,7986,37.50,7.00,-2.55
15-December-2016,191.00,194.75,187.85,191.30,191.664631282292155941,38322,1032,7344972.00,8009,20.90,6.90,0.30
14-December-2016,200.80,203.65,192.45,194.25,198.478246766411223289,49326,1234,9790138.00,12410,25.16,11.20,-6.55
13-December-2016,202.65,211.00,200.10,202.40,205.811479890667707926,217685,4402,44802072.00,52288,24.02,10.90,-0.25
12-December-2016,195.00,207.10,195.00,201.80,201.809224986609039360,216564,4589,43704613.00,51457,23.76,12.10,6.80
9-December-2016,187.55,193.50,185.10,191.65,190.152876367356575116,63535,1598,12081363.00,17422,27.42,8.40,4.10
8-December-2016,186.20,188.25,183.05,186.15,185.979547342192691029,19264,587,3582710.00,5130,26.63,5.20,-0.05
7-December-2016,193.00,193.00,185.00,186.05,188.178140470297029702,12928,406,2432767.00,5891,45.57,8.00,-6.95
6-December-2016,194.10,195.00,190.05,191.20,192.845840024304500672,23041,572,4443361.00,8925,38.74,4.95,-2.90
5-December-2016,192.00,195.10,190.60,193.35,192.729161951109099139,70688,1239,13623639.00,29392,41.58,4.50,1.35
2-December-2016,189.70,198.80,189.00,189.85,193.100919508202431123,57422,1177,11088241.00,15636,27.23,9.80,0.15
1-December-2016,200.00,200.00,188.65,189.65,194.704132655241676994,163793,3103,31891174.00,57427,35.06,11.35,-10.35
30-November-2016,172.25,189.00,171.55,186.40,183.209050142682429677,61325,1363,11235295.00,17675,28.82,17.45,14.15
29-November-2016,174.75,176.95,171.65,172.15,174.383804108584005869,10904,270,1901481.00,4269,39.15,5.30,-2.60
28-November-2016,175.00,175.25,171.15,172.20,173.391809908998988877,9890,258,1714845.00,4819,48.73,4.10,-2.80
25-November-2016,176.00,182.75,172.10,174.20,177.528369728915662650,53120,1435,9430307.00,16081,30.27,10.65,-1.80
24-November-2016,166.55,174.65,164.10,171.40,170.927232346985433405,15309,464,2616725.00,4430,28.94,10.55,4.85
23-November-2016,165.00,169.25,164.50,166.65,166.915114817776762252,8753,233,1461008.00,2685,30.68,4.75,1.65
22-November-2016,164.85,167.80,162.80,164.50,164.561513441117382569,20906,643,3440323.00,6515,31.16,5.00,-0.35
21-November-2016,165.10,166.40,156.80,158.70,160.521472979435676709,10455,383,1678252.00,6122,58.56,9.60,-6.40
18-November-2016,165.00,166.50,162.05,164.05,164.597582507130245823,7363,246,1211932.00,3549,48.20,4.45,-0.95
17-November-2016,161.00,165.70,161.00,163.20,163.142147117296222664,14084,590,2297694.00,4779,33.93,4.70,2.20
16-November-2016,176.90,179.85,158.00,161.35,167.249979144072745474,23974,678,4009651.00,12379,51.64,21.85,-15.55
15-November-2016,179.10,180.25,169.00,170.25,174.130405322163360847,32468,826,5653666.00,18389,56.64,11.25,-8.85
11-November-2016,180.00,184.65,175.60,178.60,180.577842486625584072,14767,475,2666593.00,5742,38.88,9.05,-1.40
10-November-2016,180.00,186.90,179.45,183.95,183.661095969014488595,13942,404,2560603.00,5334,38.26,7.45,3.95
9-November-2016,167.70,175.40,161.85,174.35,170.441467875924091151,26242,854,4472725.00,5396,20.56,13.55,6.65
8-November-2016,190.00,190.00,181.20,181.75,182.836125273124544792,15103,522,2761374.00,7806,51.69,8.80,-8.25
7-November-2016,188.65,193.80,185.45,187.05,189.289570552147239263,16300,461,3085420.00,7809,47.91,8.35,-1.60
4-November-2016,193.00,193.80,183.10,184.95,187.087005906406179009,17608,489,3294228.00,10071,57.20,10.70,-8.05
3-November-2016,197.50,201.35,191.20,192.45,196.949900000000000000,20000,638,3938998.00,8501,42.50,10.15,-5.05
2-November-2016,202.45,203.35,196.00,196.85,198.786145044069893304,12934,404,2571100.00,6372,49.27,7.35,-5.60
1-November-2016,203.00,214.25,202.50,205.55,206.838780249739153848,29711,761,6145387.00,10814,36.40,11.75,2.55
30-October-2016,205.55,207.00,204.00,206.45,205.726082891866625116,3209,192,660175.00,1872,58.34,3.00,0.90
28-October-2016,204.10,210.35,204.00,205.35,207.761049445005045408,19820,534,4117824.00,6307,31.82,6.35,1.25
27-October-2016,208.00,208.90,202.00,203.50,205.057349833987322668,13252,494,2717420.00,5426,40.94,6.90,-4.50
26-October-2016,214.50,214.50,206.20,207.50,209.463695063528431576,24005,638,5028176.00,12332,51.37,8.30,-7.00
25-October-2016,214.00,222.00,214.00,216.20,218.639520689569268329,80282,1850,17552818.00,20427,25.44,8.00,2.20
24-October-2016,208.55,218.00,205.40,213.15,212.435059222721417575,63658,1553,13523191.00,19741,31.01,12.60,4.60
21-October-2016,213.00,216.00,205.30,207.50,209.868633276740237691,14136,494,2966703.00,6841,48.39,10.70,-5.50
20-October-2016,214.30,217.50,212.70,214.35,214.774559640619458564,33836,652,7267112.00,12624,37.31,4.80,0.05
19-October-2016,214.00,216.25,210.05,210.95,213.121671887235708692,30648,757,6531753.00,13332,43.50,6.20,-3.05
18-October-2016,216.50,218.80,212.10,213.25,215.118345301473319301,64616,1440,13900087.00,27026,41.83,6.70,-3.25
17-October-2016,203.90,218.50,203.00,214.60,213.616868569532027879,192832,4106,41192168.00,53045,27.51,15.50,10.70
14-October-2016,204.20,210.00,200.00,202.30,203.830389317533659054,45233,1048,9219860.00,14952,33.06,10.00,-1.90
13-October-2016,204.90,208.90,198.00,203.35,203.744547179960822921,98527,2205,20074339.00,24965,25.34,10.90,-1.55
10-October-2016,197.30,211.90,194.40,206.65,205.166262177798737074,173882,3733,35674720.00,45792,26.34,17.50,9.35
7-October-2016,198.00,202.70,194.00,196.25,199.101516141594555883,151503,2684,30164477.00,49316,32.55,8.70,-1.75
6-October-2016,186.80,195.00,185.65,192.40,188.924560765782139827,82530,1179,15591944.00,45846,55.55,9.35,5.60
5-October-2016,186.00,188.80,181.20,183.10,185.406016610531160435,47801,1047,8862593.00,23837,49.87,7.60,-2.90
4-October-2016,181.05,185.00,181.00,183.75,183.488393686165273909,10770,396,1976170.00,5236,48.62,4.00,2.70
3-October-2016,178.00,182.90,178.00,178.95,180.690211640211640211,15120,482,2732036.00,6171,40.81,4.90,0.95
30-September-2016,183.00,183.00,174.95,176.30,177.528426927101499825,20069,342,3562818.00,17043,84.92,8.05,-6.70
29-September-2016,188.80,189.30,171.00,178.60,182.476148923792902850,51570,820,9410295.00,25065,48.60,18.30,-10.20
28-September-2016,181.50,185.60,178.30,180.80,181.104823151125401929,9330,319,1689708.00,4442,47.61,7.30,-0.70
27-September-2016,183.85,183.90,179.65,180.85,181.886561954624781849,4011,204,729547.00,2819,70.28,4.25,-3.00
26-September-2016,185.00,187.10,182.20,182.95,184.684756960830580462,4238,237,782694.00,3352,79.09,4.90,-2.05
23-September-2016,188.90,189.75,183.60,185.15,186.845287873914441942,6218,414,1161804.00,3834,61.66,6.15,-3.75
22-September-2016,192.20,192.80,188.55,189.05,190.050934220629639109,3907,186,742529.00,1567,40.11,4.25,-3.15
21-September-2016,189.00,193.00,188.05,189.45,190.968807339449541284,11445,357,2185638.00,6366,55.62,4.95,0.45
20-September-2016,190.90,190.90,188.00,189.55,189.642834445503654273,3147,94,596806.00,2367,75.21,2.90,-1.35
19-September-2016,191.05,191.50,188.45,189.15,189.972368120575473852,4379,176,831889.00,2954,67.46,3.05,-1.90
16-September-2016,192.10,192.55,187.00,188.20,189.107638888888888888,2304,140,435704.00,1500,65.10,5.55,-3.90
15-September-2016,192.00,194.25,189.75,191.15,192.122470160871821484,1927,148,370220.00,941,48.83,4.50,-0.85
14-September-2016,190.00,193.30,185.65,188.80,189.632363295001173433,8522,462,1616047.00,3419,40.12,7.65,-1.20
12-September-2016,195.15,195.15,190.00,190.35,192.661601186063750926,8094,521,1559403.00,4466,55.18,5.15,-4.80
9-September-2016,199.05,202.20,196.50,197.10,199.209932279909706546,7088,326,1412000.00,2812,39.67,5.70,-1.95
8-September-2016,196.70,204.90,195.10,198.15,200.059538410079161556,26907,1146,5383002.00,6369,23.67,9.80,1.45
7-September-2016,194.00,197.45,192.00,194.15,194.456886898096304591,8037,458,1562850.00,4210,52.38,5.45,0.15
6-September-2016,194.85,198.00,194.00,194.85,195.892051030421982335,5095,240,998070.00,2943,57.76,4.00,0.00
2-September-2016,193.30,194.25,191.20,191.80,192.542704626334519572,6744,314,1298508.00,3622,53.71,3.05,-1.50
1-September-2016,196.30,198.80,193.55,194.70,195.683650615901455767,3572,251,698982.00,1539,43.09,5.25,-1.60
31-August-2016,197.70,202.30,194.00,195.05,197.256258969861266145,6271,709,1236994.00,3111,49.61,8.30,-2.65
30-August-2016,197.35,201.50,196.20,198.15,198.943781490320869795,3771,327,750217.00,1738,46.09,5.30,0.80
29-August-2016,200.30,204.05,196.25,197.85,199.340238252812706816,15110,270,3012031.00,12525,82.89,7.80,-2.45
26-August-2016,201.10,201.10,196.90,198.70,198.840526476890113253,3267,230,649612.00,1299,39.76,4.20,-2.40
25-August-2016,204.00,204.90,201.00,202.00,202.827379449633930825,15844,309,3213597.00,13212,83.39,3.90,-2.00
