Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-December-2016,108.50,109.00,106.00,106.25,107.333986767949032099,12243,153,1314090.00,12243,100.00,3.00,-2.25
29-December-2016,110.60,111.90,104.00,105.25,106.189015222702499530,21284,227,2260127.00,21284,100.00,7.90,-5.35
28-December-2016,108.00,108.20,105.10,107.95,107.740329251480009731,36993,272,3985638.00,36993,100.00,3.10,-0.05
27-December-2016,98.40,108.70,98.40,103.05,101.357521481977457873,35844,265,3633059.00,35844,100.00,10.30,4.65
26-December-2016,103.55,103.55,103.55,103.55,103.549993027471761260,7171,55,742557.00,7171,100.00,0.00,0.00
23-December-2016,109.00,109.00,109.00,109.00,109.000000000000000000,14095,125,1536355.00,14095,100.00,0.00,0.00
22-December-2016,120.10,120.10,114.70,114.70,115.263151207115628970,15740,159,1814242.00,15740,100.00,5.40,-5.40
21-December-2016,121.80,124.30,118.75,120.70,122.013726563422303787,93177,1666,11368873.00,30679,32.93,5.55,-1.10
20-December-2016,125.85,127.45,119.40,119.80,122.447681923800390956,162678,2438,19919544.00,58503,35.96,8.05,-6.05
19-December-2016,126.10,134.55,123.80,127.65,129.924804160376143596,364967,5730,47418266.00,111158,30.46,10.75,1.55
16-December-2016,117.30,127.70,114.65,125.60,123.261229191363891286,297773,5524,36703866.00,60331,20.26,13.05,8.30
15-December-2016,115.00,118.85,110.50,116.30,116.757130739052062347,37724,733,4404546.00,12250,32.47,8.35,1.30
14-December-2016,117.55,119.55,115.25,115.95,117.510431889555673020,32161,535,3779253.00,15145,47.09,4.30,-1.60
13-December-2016,119.75,120.30,116.00,116.50,117.843213818891775178,60439,881,7122326.00,26100,43.18,4.30,-3.25
12-December-2016,115.50,121.15,112.10,118.10,117.095231437140400304,143041,2220,16749419.00,35389,24.74,9.05,2.60
9-December-2016,104.05,117.55,103.00,114.60,112.997799042747845854,304413,4836,34397999.00,56054,18.41,14.55,10.55
