Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-June-2017,228.50,243.45,227.80,242.75,240.331241246952642771,809718,6252,194600532.00,116304,14.36,15.65,14.25
31-May-2017,228.65,231.55,227.00,228.40,227.523510784727139640,502748,1390,114386990.00,352141,70.04,4.55,-0.25
30-May-2017,224.60,229.90,223.10,228.45,227.813121684627373856,149493,1226,34056467.00,17209,11.51,6.80,3.85
29-May-2017,233.00,234.10,224.00,224.95,227.364631832231307954,204472,1597,46489701.00,24111,11.79,10.10,-8.05
26-May-2017,227.00,235.70,224.00,232.25,231.644391798307714612,324177,3245,75093784.00,48584,14.99,11.70,5.25
25-May-2017,222.50,228.00,219.00,227.50,223.963417225780989101,197634,1710,44262786.00,36994,18.72,9.00,5.00
24-May-2017,228.40,230.05,217.50,221.45,222.657662063674721902,417120,3296,92874964.00,91785,22.00,12.55,-6.95
23-May-2017,231.55,232.75,226.05,230.60,230.271979744097149669,244077,2225,56204094.00,24178,9.91,6.70,-0.95
22-May-2017,236.50,237.45,230.85,233.30,234.728633465767347315,259752,2485,60971232.00,107151,41.25,6.60,-3.20
19-May-2017,236.50,237.65,230.10,234.50,234.862171208686943229,303536,2202,71289124.00,81287,26.78,7.55,-2.00
18-May-2017,235.00,239.80,231.00,232.85,235.244606002607281835,409622,2651,96361366.00,131160,32.02,8.80,-2.15
17-May-2017,235.00,238.50,231.95,237.35,236.419658963598731557,631956,3730,149406822.00,97927,15.50,6.55,2.35
16-May-2017,233.00,235.30,230.95,234.50,234.017830757226105291,361398,2390,84573576.00,78843,21.82,4.35,1.50
15-May-2017,227.40,232.50,225.25,232.15,230.529343176254016339,266723,1934,61487478.00,48215,18.08,7.25,4.75
12-May-2017,231.00,232.75,225.50,227.30,228.324122685824813484,217140,1793,49578300.00,51640,23.78,7.25,-3.70
11-May-2017,232.00,235.25,229.60,230.50,232.378359085770023720,451090,3319,104823554.00,63065,13.98,5.65,-1.50
10-May-2017,236.00,236.00,229.00,231.20,231.737127425599670095,349192,2856,80920751.00,60538,17.34,7.00,-4.80
9-May-2017,244.00,244.00,232.70,234.25,236.606570660572140918,385045,4502,91104177.00,109705,28.49,11.30,-9.75
8-May-2017,242.50,244.60,238.45,240.55,241.324176098654068481,560504,4029,135263166.00,45098,8.05,6.15,-1.95
5-May-2017,242.80,247.20,239.75,245.40,243.725185918165403409,490135,4334,119458244.00,48488,9.89,7.45,2.60
4-May-2017,244.45,250.00,241.10,242.85,246.370882107752240215,315483,2549,77725825.00,57011,18.07,8.90,-1.60
3-May-2017,251.10,252.95,243.90,244.90,248.018098277459329576,616357,4908,152867691.00,73647,11.95,9.05,-6.20
2-May-2017,244.00,253.00,241.10,250.65,247.349081420898437500,327680,2799,81051347.00,80090,24.44,11.90,6.65
28-April-2017,247.85,248.00,242.30,244.10,244.916368283850811973,197174,1915,48291140.00,34119,17.30,5.70,-3.75
27-April-2017,249.90,249.90,245.40,247.85,247.722780703540981698,274952,2599,68111874.00,33523,12.19,4.50,-2.05
26-April-2017,243.00,249.50,242.10,247.40,246.573680160718080140,621212,6315,153174529.00,124095,19.98,7.40,4.40
25-April-2017,242.00,244.00,239.00,242.65,241.999734679453897124,437207,3092,105803978.00,68634,15.70,5.00,0.65
24-April-2017,236.50,241.90,235.75,241.30,239.817260938000026082,3987292,4306,956221446.00,3472648,87.09,6.15,4.80
21-April-2017,242.70,243.00,233.25,236.90,237.317786196883835234,405691,4569,96277690.00,88735,21.87,9.75,-5.80
20-April-2017,230.35,241.00,229.00,239.95,236.835659402578775593,683270,5647,161822701.00,182063,26.65,12.00,9.60
19-April-2017,228.00,233.00,226.35,230.55,230.094084323817375289,264433,3123,60844469.00,54910,20.77,6.65,2.55
18-April-2017,229.10,236.50,225.50,226.65,232.079374416812041056,640874,8574,148733637.00,226291,35.31,11.00,-2.45
17-April-2017,222.40,231.40,220.95,229.50,227.758736611117606324,555965,5656,126625886.00,216044,38.86,10.45,7.10
13-April-2017,221.50,227.25,220.95,222.40,224.868541239599662365,398064,2858,89512071.00,38102,9.57,6.30,0.90
12-April-2017,229.80,230.00,220.00,221.25,223.255381691395053141,451438,4871,100785963.00,81412,18.03,10.00,-8.55
11-April-2017,218.55,233.00,216.85,228.70,225.336735301930183726,990113,8794,223108831.00,200556,20.26,16.15,10.15
10-April-2017,215.00,218.00,214.50,216.80,216.678460679224824678,427929,2581,92722997.00,81944,19.15,3.50,1.80
7-April-2017,211.05,216.15,210.25,212.75,214.315918867248177799,334760,2741,71744397.00,56361,16.84,5.90,1.70
6-April-2017,211.85,215.20,210.50,213.20,213.490937506017059567,311614,2400,66526765.00,73665,23.64,4.70,1.35
5-April-2017,211.00,214.00,210.85,211.85,212.509438005607443255,223988,1973,47599564.00,55698,24.87,3.15,0.85
3-April-2017,210.00,211.30,209.00,210.10,210.201782574425513854,131944,1171,27734864.00,46570,35.30,2.30,0.10
31-March-2017,208.65,210.80,207.85,208.65,209.070921635360754059,161897,1540,33847955.00,34006,21.00,2.95,0.00
30-March-2017,210.00,211.00,207.30,208.65,208.991596400653838061,247156,2211,51653527.00,50519,20.44,3.70,-1.35
29-March-2017,203.00,210.00,200.60,209.40,205.341427101132128261,700539,5528,143849678.00,102197,14.59,9.40,6.40
28-March-2017,212.10,213.00,203.35,203.90,207.666244951477172564,456074,4802,94711175.00,104121,22.83,9.65,-8.20
27-March-2017,209.80,211.85,206.80,210.60,210.030073183147382176,453793,4045,95310177.00,63561,14.01,5.05,0.80
24-March-2017,206.70,211.15,205.20,209.15,208.442908613749082579,719408,5480,149955496.00,155967,21.68,5.95,2.45
23-March-2017,205.50,207.95,204.15,206.50,206.372976004438669915,501051,5102,103403386.00,100760,20.11,3.80,1.00
22-March-2017,204.00,207.95,202.15,204.95,205.581438551742040337,886030,8064,182151322.00,131814,14.88,5.80,0.95
21-March-2017,204.90,205.85,199.25,204.90,202.899662264791551258,559610,5469,113544680.00,89298,15.96,6.60,0.00
20-March-2017,203.80,206.80,202.10,202.95,204.152030642925335807,1038021,10211,211914095.00,245984,23.70,4.70,-0.85
17-March-2017,197.05,199.75,192.00,198.90,196.915895427396455497,510650,5730,100555102.00,111740,21.88,7.75,1.85
16-March-2017,196.50,198.50,194.65,195.95,196.163251388465981010,397381,3549,77951549.00,120633,30.36,3.85,-0.55
15-March-2017,187.30,196.45,186.90,194.20,193.254755098589078881,957814,10780,185102110.00,312686,32.65,9.55,6.90
14-March-2017,185.00,186.85,181.15,185.70,185.099897788161202671,315032,3175,58312391.00,82118,26.07,5.70,0.70
10-March-2017,181.80,181.80,178.15,178.95,179.788175437047501324,90608,1334,16290247.00,31596,34.87,3.65,-2.85
9-March-2017,179.25,182.60,179.20,179.95,180.913499160451403803,128045,1747,23165069.00,34190,26.70,3.40,0.70
8-March-2017,181.40,182.15,178.00,179.85,180.030587611591294222,105631,1196,19016811.00,23881,22.61,4.15,-1.55
7-March-2017,181.10,183.70,180.55,181.20,182.042734982131714788,141032,1550,25673851.00,40441,28.68,3.15,0.10
6-March-2017,184.90,184.90,181.70,182.60,182.643648452041322246,123033,1861,22471196.00,35673,28.99,3.20,-2.30
3-March-2017,182.00,183.70,179.70,183.10,181.815462404175501549,245240,2906,44588424.00,39832,16.24,4.00,1.10
2-March-2017,186.75,187.60,180.25,181.20,184.214286062794271913,204955,3801,37755639.00,65979,32.19,7.35,-5.55
1-March-2017,188.00,190.90,185.05,185.80,187.724511043482113341,293431,3013,55084191.00,78481,26.75,5.85,-2.20
28-February-2017,185.10,189.30,185.10,187.60,187.932854645063527217,214475,2374,40306899.00,59214,27.61,4.20,2.50
27-February-2017,185.90,186.80,183.80,184.65,185.319663660278090943,340608,2783,63121360.00,42116,12.36,3.00,-1.25
23-February-2017,180.90,185.05,179.70,184.25,183.140709432655828512,346615,3546,63479317.00,103796,29.95,5.35,3.35
22-February-2017,181.00,182.95,178.95,179.85,180.780857081373543607,260232,4462,47044964.00,63985,24.59,4.00,-1.15
21-February-2017,179.70,180.80,178.95,179.90,179.840922277665205709,112027,1638,20147039.00,33656,30.04,1.85,0.20
20-February-2017,178.15,181.85,177.75,179.60,179.906404080275602526,141363,1406,25432109.00,32631,23.08,4.10,1.45
17-February-2017,178.90,181.30,176.75,179.20,179.497116425548666469,203220,2082,36477404.00,39672,19.52,4.55,0.30
16-February-2017,173.10,179.60,171.60,178.85,175.950259984331935655,246361,4198,43347282.00,61066,24.79,8.00,5.75
15-February-2017,175.50,176.90,173.20,174.00,174.865456558369273630,164393,2431,28746657.00,38914,23.67,3.70,-1.50
14-February-2017,178.60,178.60,175.05,175.85,176.176688338926174496,190720,2392,33600418.00,57297,30.04,3.55,-2.75
13-February-2017,181.20,182.90,178.15,179.45,179.737895548216172619,195899,2130,35210474.00,81959,41.84,4.75,-1.75
10-February-2017,183.20,183.70,181.15,182.35,182.168288926182211085,217495,4471,39620692.00,73128,33.62,2.55,-0.85
9-February-2017,187.00,187.65,182.45,183.65,184.639147451078150317,200575,2029,37033997.00,71696,35.75,5.20,-3.35
8-February-2017,183.05,186.50,181.55,185.75,184.391648311039147326,205659,2208,37921802.00,55556,27.01,4.95,2.70
7-February-2017,182.00,184.65,180.45,182.30,182.635381343514773973,238866,2972,43625383.00,40688,17.03,4.20,0.30
6-February-2017,185.80,185.80,181.25,182.10,182.709756660511738327,242624,3847,44329772.00,77735,32.04,4.55,-3.70
3-February-2017,184.60,187.00,181.50,183.30,184.001758917798208792,235372,3437,43308862.00,53042,22.54,5.50,-1.30
2-February-2017,187.00,188.40,182.10,184.35,184.862464935906749069,178958,2649,33082617.00,40525,22.64,6.30,-2.65
1-February-2017,182.00,188.60,176.50,187.00,184.014873927541118729,720657,7443,132611607.00,63320,8.79,12.10,5.00
31-January-2017,184.00,184.00,179.05,180.70,181.224005622047449039,230521,2449,41775939.00,49992,21.69,4.95,-3.30
30-January-2017,187.90,187.90,183.30,184.00,184.776253713589582986,174023,1680,32155318.00,36235,20.82,4.60,-3.90
27-January-2017,186.70,189.70,186.10,187.00,187.724182608627781550,128121,1364,24051410.00,27737,21.65,3.60,0.30
25-January-2017,185.35,187.75,184.50,186.70,186.149515164984267717,170986,2245,31828961.00,54446,31.84,3.25,1.35
24-January-2017,185.85,186.30,183.70,185.00,185.178683552386526898,112758,1696,20880378.00,47030,41.71,2.60,-0.85
23-January-2017,182.35,186.40,182.30,184.70,184.799791429288735250,103562,1480,19138236.00,21155,20.43,4.10,2.35
20-January-2017,185.00,186.85,183.00,183.70,184.326280588028556518,281687,2268,51922317.00,77050,27.35,3.85,-1.30
19-January-2017,189.50,189.50,184.75,185.55,186.284573870586062115,200303,1537,37313359.00,55702,27.81,4.75,-3.95
18-January-2017,190.00,190.40,186.60,188.55,188.588642092230591276,202731,2256,38232764.00,56779,28.01,3.80,-1.45
17-January-2017,187.50,191.60,187.45,187.90,189.283992532720633487,194984,1852,36907350.00,34989,17.94,4.15,0.40
16-January-2017,186.15,188.50,184.60,186.95,186.621907221214951559,218412,3232,40760464.00,50246,23.01,3.90,0.80
13-January-2017,194.80,194.90,185.80,187.95,187.856798440376908913,461650,6469,86724091.00,88354,19.14,9.10,-6.85
12-January-2017,197.95,198.60,193.40,194.70,195.393649816902852937,165759,2103,32388256.00,22872,13.80,5.20,-3.25
11-January-2017,197.00,198.60,195.85,197.00,197.256700842791737587,871271,4530,171864043.00,569450,65.36,2.75,0.00
10-January-2017,186.80,195.90,186.80,194.65,193.671768403554905014,705054,5297,136549055.00,495986,70.35,9.10,7.85
9-January-2017,189.80,189.80,185.20,186.45,187.219071675743550059,205467,2788,38467341.00,49940,24.31,4.60,-3.35
6-January-2017,194.80,194.80,186.00,188.70,189.602212344165133864,430584,4873,81639679.00,43334,10.06,8.80,-6.10
5-January-2017,185.70,188.50,185.70,187.75,187.038941813140122545,223590,1868,41820037.00,42713,19.10,2.80,2.05
4-January-2017,187.70,189.35,184.50,185.30,186.606699025945151491,213643,2678,39867215.00,28724,13.44,4.85,-2.40
3-January-2017,187.70,188.20,185.50,187.25,186.962846116377533815,133445,1683,24949257.00,17634,13.21,2.70,-0.45
2-January-2017,186.15,187.90,183.90,186.25,186.056855244855868386,166792,1791,31032795.00,19771,11.85,4.00,0.10
30-December-2016,185.85,186.70,183.80,184.95,185.304908598510494245,147700,1454,27369535.00,17347,11.74,2.90,-0.90
29-December-2016,184.35,186.00,182.60,185.30,184.548379258395295718,123462,1460,22784712.00,12698,10.28,3.40,0.95
28-December-2016,188.60,188.60,182.55,183.20,184.347567898000174657,263373,2484,48552172.00,39017,14.81,6.05,-5.40
27-December-2016,185.00,188.60,179.60,187.90,184.818656381350110083,184859,2315,34165392.00,17181,9.29,9.00,2.90
26-December-2016,188.00,189.20,184.05,185.20,185.488825641414385048,145109,1627,26916098.00,23082,15.91,5.15,-2.80
23-December-2016,188.55,191.35,188.15,189.65,189.903291000488126536,116773,1214,22175577.00,13048,11.17,3.20,1.10
22-December-2016,190.20,191.80,187.75,189.65,189.301662472506786613,151401,1791,28660461.00,13868,9.16,4.05,-0.55
21-December-2016,195.50,195.50,189.80,192.05,191.983039698683768885,443919,5139,85224919.00,19557,4.41,5.70,-3.45
20-December-2016,196.00,197.80,191.95,195.70,195.107189649525057320,158756,1683,30974437.00,12040,7.58,5.85,-0.30
19-December-2016,193.50,196.85,192.00,195.15,194.502575877760614536,119765,2087,23294601.00,13791,11.52,4.85,1.65
16-December-2016,202.15,202.40,193.50,194.55,198.779035264642651842,300953,1923,59823147.00,171522,56.99,8.90,-7.60
15-December-2016,194.20,203.70,194.20,200.20,200.306787585391844414,1617836,4405,324063532.00,1308044,80.85,9.50,6.00
14-December-2016,197.10,198.80,195.10,197.20,196.924717945943021022,73922,1410,14557069.00,17000,23.00,3.70,0.10
13-December-2016,192.30,197.50,192.30,196.90,195.885353262963248324,90853,1889,17796772.00,18232,20.07,5.20,4.60
12-December-2016,199.00,199.00,192.75,193.90,194.672899618617395490,81021,1167,15772593.00,16738,20.66,6.25,-5.10
9-December-2016,196.00,198.15,194.60,197.30,196.579490281161044740,180217,2489,35426966.00,33723,18.71,3.55,1.30
8-December-2016,190.00,195.70,190.00,194.80,194.457425042499736727,265884,3858,51703118.00,72255,27.18,5.70,4.80
7-December-2016,190.55,190.80,186.45,188.35,188.642050997782705099,90200,1506,17015513.00,15563,17.25,4.35,-2.20
6-December-2016,187.10,191.25,187.10,189.05,189.682447380064471272,205673,2648,39012558.00,33937,16.50,4.15,1.95
